predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,fdr_p
timesincecat,EGFR,predictorvalue,3,7815,3.69,1.23,0.2966332702,2.9671022E-01,0.6755232164
meandonorage,BASOF,predspline,2,1933,2.42,1.21,0.297555587,2.9778166E-01,0.6755232164
idbloodgroupcat,LYMF,predictorvalue,1,1919,1.08,1.08,0.29911338,2.9924419E-01,0.6757126899
meanstoragetime,ASAT,predspline,2,15252,2.38,1.19,0.3041749978,3.0420325E-01,0.6797247298
meandonationtime,CRP,predspline,2,47498,2.38,1.19,0.3043580723,3.0436714E-01,0.6797247298
meandonorage,HBA1C,predspline,2,180,2.39,1.19,0.3027931761,3.0518253E-01,0.6797247298
meanweekday,APTT,predictorvalue,5,22109,5.93,1.19,0.3128477469,3.1288667E-01,0.6900337656
meandonorage,BE,predspline,2,20166,2.31,1.15,0.315252767,3.1527360E-01,0.6900337656
numdoncat,BASOF,predictorvalue,4,1931,4.73,1.18,0.3157589449,3.1613036E-01,0.6900337656
meandonationtime,APTT,predspline,2,22027,2.30,1.15,0.3173958738,3.1741485E-01,0.6900337656
meandonorhb,LYMF,predspline,2,1899,2.29,1.15,0.3177475524,3.1796739E-01,0.6900337656
meanweekday,EOSINO,predictorvalue,5,1913,5.88,1.18,0.317817147,3.1826047E-01,0.6900337656
idbloodgroupcat,MCH,predictorvalue,1,36876,0.97,0.97,0.324252363,3.2425883E-01,0.6942124595
meandonorsex,OSMO,predictorvalue,1,6497,0.97,0.97,0.3243733197,3.2441002E-01,0.6942124595
numdoncat,CO2,predictorvalue,4,1070,4.66,1.17,0.3237824433,3.2443807E-01,0.6942124595
donorparity,APTT,predictorvalue,2,22102,2.24,1.12,0.3270812958,3.2709978E-01,0.6968334236
meandonationtime,METHB,predspline,2,15554,2.23,1.11,0.3284810126,3.2850719E-01,0.6968334236
meanstoragetime,META,predspline,2,375,2.21,1.10,0.3319468361,3.3302087E-01,0.7030947261
meandonorage,CRP,predspline,2,47656,2.19,1.10,0.3343202953,3.3432872E-01,0.7030947261
numdoncat,EGFR,predictorvalue,4,7814,4.55,1.14,0.3362930078,3.3637989E-01,0.7043852324
meandonorsex,LPK,predictorvalue,1,56327,0.92,0.92,0.3379160373,3.3792015E-01,0.7045994625
numdoncat,MYELO,predictorvalue,4,353,4.51,1.13,0.34110347,3.4298954E-01,0.7121392976
idbloodgroupcat,BE,predictorvalue,1,20154,0.88,0.88,0.3488173846,3.4882861E-01,0.7212068327
donorparity,HAPTO,predictorvalue,2,370,2.10,1.05,0.3500140968,3.5105423E-01,0.7227587009
meandonationtime,BLAST,predspline,2,205,2.07,1.04,0.3550758325,3.5692518E-01,0.7285218946
meandonationtime,ALB,predspline,2,22987,2.05,1.03,0.3579036888,3.5792013E-01,0.7285218946
meandonorage,CA,predspline,2,12733,2.05,1.03,0.3582841866,3.5831383E-01,0.7285218946
numdoncat,LYMF,predictorvalue,4,1918,4.34,1.08,0.3622004375,3.6252779E-01,0.729187182
meandonorsex,BLAST,predictorvalue,1,206,0.83,0.83,0.3625889869,3.6365305E-01,0.729187182
timesincecat,CRP,predictorvalue,3,47681,3.18,1.06,0.364192333,3.6420289E-01,0.729187182
numdoncat,ALB,predictorvalue,4,23090,4.30,1.07,0.3669491173,3.6697593E-01,0.729187182
meandonationtime,HB,predspline,2,91138,2.00,1.00,0.3672026134,3.6720666E-01,0.729187182
meanstoragetime,NTPROBNP,predspline,2,817,2.00,1.00,0.3671191138,3.6756987E-01,0.729187182
meandonorage,HAPTO,predspline,2,370,1.97,0.98,0.3737513055,3.7472752E-01,0.740389056
meandonationtime,NTPROBNP,predspline,2,814,1.95,0.98,0.3764175748,3.7685858E-01,0.7416092553
meandonationtime,CA_F,predspline,2,20318,1.92,0.96,0.3826967983,3.8271417E-01,0.7470696413
meanweekday,CO2,predictorvalue,5,1069,5.27,1.05,0.383979435,3.8462307E-01,0.7470696413
meandonorage,NEUTRO,predspline,2,10903,1.91,0.95,0.3855232062,3.8555533E-01,0.7470696413
timesincecat,ERYTROBL,predictorvalue,3,259,3.05,1.02,0.3839113619,3.8573188E-01,0.7470696413
timesincecat,BASOF,predictorvalue,3,1932,3.00,1.00,0.3914000929,3.9163950E-01,0.7492140308
meanstoragetime,HAPTO,predspline,2,368,1.88,0.94,0.3910275,3.9196229E-01,0.7492140308
meandonorsex,HAPTO,predictorvalue,1,371,0.73,0.73,0.3927816097,3.9333310E-01,0.7492140308
meandonorage,INR,predspline,2,27909,1.86,0.93,0.3939464324,3.9395868E-01,0.7492140308
meandonationtime,ASAT,predspline,2,15215,1.86,0.93,0.394461689,3.9448412E-01,0.7492140308
idbloodgroupcat,CRP,predictorvalue,1,47621,0.71,0.71,0.399018208,3.9902244E-01,0.7549073267
meandonorsex,LYMF,predictorvalue,1,1921,0.68,0.68,0.4079163886,4.0801918E-01,0.768959223
